selected	speaker	design	line_key	take	text	duration_seconds	file
	Cinder	cinder-a-grounded-medic	__voice_design_reference__	reference	"A clean shutdown is a luxury. First we trace every dependency, then we decide what can break without taking somebody with it."	7.92	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-a-grounded-medic\reference.wav
	Cinder	cinder-a-grounded-medic	gq002_01_cinder_intro_01	1	Patch says you can remove a machine without turning the whole block into a fireworks display.	5.52	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-a-grounded-medic\gq002_01_cinder_intro_01\take-01.wav
	Cinder	cinder-a-grounded-medic	gq002_01_cinder_intro_01	2	Patch says you can remove a machine without turning the whole block into a fireworks display.	5.2	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-a-grounded-medic\gq002_01_cinder_intro_01\take-02.wav
x	Cinder	cinder-a-grounded-medic	gq002_01_cinder_intro_01	3	Patch says you can remove a machine without turning the whole block into a fireworks display.	4	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-a-grounded-medic\gq002_01_cinder_intro_01\take-03.wav
x	Cinder	cinder-a-grounded-medic	gq002_01_cinder_rsp_accept_01	1	"If it's what I say. Evidence first, conviction second."	4.56	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-a-grounded-medic\gq002_01_cinder_rsp_accept_01\take-01.wav
	Cinder	cinder-a-grounded-medic	gq002_01_cinder_rsp_accept_01	2	"If it's what I say. Evidence first, conviction second."	5.36	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-a-grounded-medic\gq002_01_cinder_rsp_accept_01\take-02.wav
	Cinder	cinder-a-grounded-medic	gq002_01_cinder_rsp_accept_01	3	"If it's what I say. Evidence first, conviction second."	5.2	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-a-grounded-medic\gq002_01_cinder_rsp_accept_01\take-03.wav
x	Cinder	cinder-a-grounded-medic	gq002_01_cinder_rsp_common_ground_01	1	"Neighbors with tools. We pull subscription locks off water pumps, print parts corps stopped selling, keep old implants alive. If that sounds like a gang, blame the city."	10.96	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-a-grounded-medic\gq002_01_cinder_rsp_common_ground_01\take-01.wav
	Cinder	cinder-a-grounded-medic	gq002_01_cinder_rsp_common_ground_01	2	"Neighbors with tools. We pull subscription locks off water pumps, print parts corps stopped selling, keep old implants alive. If that sounds like a gang, blame the city."	10.4	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-a-grounded-medic\gq002_01_cinder_rsp_common_ground_01\take-02.wav
	Cinder	cinder-a-grounded-medic	gq002_01_cinder_rsp_common_ground_01	3	"Neighbors with tools. We pull subscription locks off water pumps, print parts corps stopped selling, keep old implants alive. If that sounds like a gang, blame the city."	11.12	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-a-grounded-medic\gq002_01_cinder_rsp_common_ground_01\take-03.wav
	Cinder	cinder-a-grounded-medic	gq002_01_cinder_rsp_hate_tech_01	1	I want a hand-crank when the vendor kills the cloud. Technology isn't the problem. Obedience disguised as convenience is.	7.76	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-a-grounded-medic\gq002_01_cinder_rsp_hate_tech_01\take-01.wav
	Cinder	cinder-a-grounded-medic	gq002_01_cinder_rsp_hate_tech_01	2	I want a hand-crank when the vendor kills the cloud. Technology isn't the problem. Obedience disguised as convenience is.	8.32	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-a-grounded-medic\gq002_01_cinder_rsp_hate_tech_01\take-02.wav
x	Cinder	cinder-a-grounded-medic	gq002_01_cinder_rsp_hate_tech_01	3	I want a hand-crank when the vendor kills the cloud. Technology isn't the problem. Obedience disguised as convenience is.	8.16	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-a-grounded-medic\gq002_01_cinder_rsp_hate_tech_01\take-03.wav
x	Cinder	cinder-a-grounded-medic	gq002_01_cinder_rsp_job_01	1	Kabuki relay. Officially dead. Actually profiles tenants for a redevelopment shell. Scan it first. I want proof before you cut power.	9.84	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-a-grounded-medic\gq002_01_cinder_rsp_job_01\take-01.wav
	Cinder	cinder-a-grounded-medic	gq002_01_cinder_rsp_job_01	2	Kabuki relay. Officially dead. Actually profiles tenants for a redevelopment shell. Scan it first. I want proof before you cut power.	9.92	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-a-grounded-medic\gq002_01_cinder_rsp_job_01\take-02.wav
	Cinder	cinder-a-grounded-medic	gq002_01_cinder_rsp_job_01	3	Kabuki relay. Officially dead. Actually profiles tenants for a redevelopment shell. Scan it first. I want proof before you cut power.	10.16	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-a-grounded-medic\gq002_01_cinder_rsp_job_01\take-03.wav
	Cinder	cinder-a-grounded-medic	gq002_01_cinder_rsp_why_me_01	1	"Because the owners hired people who break bones. My crew are technicians, not martyrs."	6.72	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-a-grounded-medic\gq002_01_cinder_rsp_why_me_01\take-01.wav
	Cinder	cinder-a-grounded-medic	gq002_01_cinder_rsp_why_me_01	2	"Because the owners hired people who break bones. My crew are technicians, not martyrs."	5.92	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-a-grounded-medic\gq002_01_cinder_rsp_why_me_01\take-02.wav
x	Cinder	cinder-a-grounded-medic	gq002_01_cinder_rsp_why_me_01	3	"Because the owners hired people who break bones. My crew are technicians, not martyrs."	6.64	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-a-grounded-medic\gq002_01_cinder_rsp_why_me_01\take-03.wav
	Cinder	cinder-b-organizer	__voice_design_reference__	reference	"A clean shutdown is a luxury. First we trace every dependency, then we decide what can break without taking somebody with it."	8.4	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-b-organizer\reference.wav
	Cinder	cinder-b-organizer	gq002_01_cinder_intro_01	1	Patch says you can remove a machine without turning the whole block into a fireworks display.	5.52	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-b-organizer\gq002_01_cinder_intro_01\take-01.wav
	Cinder	cinder-b-organizer	gq002_01_cinder_intro_01	2	Patch says you can remove a machine without turning the whole block into a fireworks display.	5.52	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-b-organizer\gq002_01_cinder_intro_01\take-02.wav
	Cinder	cinder-b-organizer	gq002_01_cinder_intro_01	3	Patch says you can remove a machine without turning the whole block into a fireworks display.	5.36	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-b-organizer\gq002_01_cinder_intro_01\take-03.wav
	Cinder	cinder-b-organizer	gq002_01_cinder_rsp_accept_01	1	"If it's what I say. Evidence first, conviction second."	5.6	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-b-organizer\gq002_01_cinder_rsp_accept_01\take-01.wav
	Cinder	cinder-b-organizer	gq002_01_cinder_rsp_accept_01	2	"If it's what I say. Evidence first, conviction second."	5.04	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-b-organizer\gq002_01_cinder_rsp_accept_01\take-02.wav
	Cinder	cinder-b-organizer	gq002_01_cinder_rsp_accept_01	3	"If it's what I say. Evidence first, conviction second."	4.48	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-b-organizer\gq002_01_cinder_rsp_accept_01\take-03.wav
	Cinder	cinder-b-organizer	gq002_01_cinder_rsp_common_ground_01	1	"Neighbors with tools. We pull subscription locks off water pumps, print parts corps stopped selling, keep old implants alive. If that sounds like a gang, blame the city."	12.16	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-b-organizer\gq002_01_cinder_rsp_common_ground_01\take-01.wav
	Cinder	cinder-b-organizer	gq002_01_cinder_rsp_common_ground_01	2	"Neighbors with tools. We pull subscription locks off water pumps, print parts corps stopped selling, keep old implants alive. If that sounds like a gang, blame the city."	10.96	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-b-organizer\gq002_01_cinder_rsp_common_ground_01\take-02.wav
	Cinder	cinder-b-organizer	gq002_01_cinder_rsp_common_ground_01	3	"Neighbors with tools. We pull subscription locks off water pumps, print parts corps stopped selling, keep old implants alive. If that sounds like a gang, blame the city."	11.2	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-b-organizer\gq002_01_cinder_rsp_common_ground_01\take-03.wav
	Cinder	cinder-b-organizer	gq002_01_cinder_rsp_hate_tech_01	1	I want a hand-crank when the vendor kills the cloud. Technology isn't the problem. Obedience disguised as convenience is.	8.24	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-b-organizer\gq002_01_cinder_rsp_hate_tech_01\take-01.wav
	Cinder	cinder-b-organizer	gq002_01_cinder_rsp_hate_tech_01	2	I want a hand-crank when the vendor kills the cloud. Technology isn't the problem. Obedience disguised as convenience is.	8.48	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-b-organizer\gq002_01_cinder_rsp_hate_tech_01\take-02.wav
	Cinder	cinder-b-organizer	gq002_01_cinder_rsp_hate_tech_01	3	I want a hand-crank when the vendor kills the cloud. Technology isn't the problem. Obedience disguised as convenience is.	9.36	H:\projects\Ghostline\generated\gq002-voice-auditions\cinder-b-organizer\gq002_01_cinder_rsp_hate_tech_01\take-03.wav
